DATA,LINHA,MARCA,PRODUTO,QTD.,TOTAL
02/01/2020,AUDIO E VIDEO,PIONEER,PIONEER - AUDIO CAR MVH-98UB,20,"4.138,00"
02/01/2020,AUDIO E VIDEO,MOTOBRAS,MOTOBRAS - RADIO RM-PUSM81 AC 8 FXS USB,1,"299,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 32 LK615BPSB WEB OS,1,"1.139,00"
02/01/2020,AUDIO E VIDEO,HP,HP - CALC. FINANCEIRA HP 12 C GOLD,1,"319,00"
02/01/2020,AUDIO E VIDEO,FUJI,FUJI - KIT FILME INSTAX MINI 60 FOTOS,1,"199,00"
02/01/2020,AUDIO E VIDEO,FUJI,FUJI - KIT INSTAX MINI 9-FILME 10P-BOLSA ROSA FLAMINGO,1,"414,00"
02/01/2020,AUDIO E VIDEO,CAPA INSTRUMENTO,CASIO - CALC. CIENTIFICA FX82 MS,1,"64,90"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,1,"900,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 50 TC50GX500B SMART 4K UHD LED,1,"1.999,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 40 FS600B BLUETOOTH,1,"1.299,00"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR S509 TWIST 2 FIT CINZA,1,"380,00"
02/01/2020,CELULARES,LG,LG - CELULAR K12+ X420BMW PLATINA,1,"899,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J2 CORE J260 PRETO ALLIED,1,"599,00"
02/01/2020,CELULARES,LG,LG - VOIA CARTAO SD 32GB BRINDE,1,"0,01"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,1,"899,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 43 LK5750PSA SMART WEB OS,1,"1.450,00"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 FS600B BLUETOOTH,0,"-899,00"
02/01/2020,CELULARES,POSITIVO,POSITIVO - CELULAR P25 PRETO,2,"178,00"
02/01/2020,CELULARES,LG,LG - CELULAR K12 X420BMW AZUL,1,"899,00"
02/01/2020,CELULARES,DL,DL - CELULAR YC130 DUOS PRETO SC,1,"169,00"
02/01/2020,AUDIO E VIDEO,LG,LG - SYSTEM OK75 TORRE 1000W,1,"1.599,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - BOOMBOX BD121 LAVANDA E BRANCO,1,"189,00"
02/01/2020,AUDIO E VIDEO,GRADIENTE,GRADIENTE - SPEAKER GMP 104 MEU PRIMEIRO GRADIENTE,1,"349,00"
02/01/2020,AUDIO E VIDEO,JBL,JBL - BOX GO 2 LARANJA,1,"190,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 43 UM7500,1,"1.799,00"
02/01/2020,AUDIO E VIDEO,LG,LG - TV 32 LK615BPSB WEB OS,1,"999,00"
02/01/2020,AUDIO E VIDEO,JBL,JBL - BOX WIND 2X1 BT FM SD,1,"179,00"
02/01/2020,AUDIO E VIDEO,LENOXX,LENOXX - SYSTEM MS8300 BLUETOOTH,1,"379,05"
02/01/2020,AUDIO E VIDEO,PHILIPS,PHILIPS - RADIO PORTATIL AE1500X AM FM,1,"24,90"
02/01/2020,AUDIO E VIDEO,PANASONIC,PANASONIC - TV 32 TC32FS500B DUAL CORE WI-FI,1,"899,00"
02/01/2020,AUDIO E VIDEO,TCL,TCL - TV 32 S6500FS AI IN HD BLUETOOTH,1,"999,00"
02/01/2020,AUDIO E VIDEO,PHILIPS,PHILIPS - RADIO PORTATIL AE1500X AM FM,1,"24,90"
02/01/2020,CELULARES,SEMP,SEMP - CELULAR DIG GO1C PRETO,1,"99,00"
02/01/2020,CELULARES,SAMSUNG,SAMSUNG - GALAXY J2 CORE J260 PRATA,1,"599,00"
